id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.000000,0.000000,0.0000,0.00,0.00,0.0,-26.700,4.850,G2V,0.656,0.000005,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,,,,1,0,,1,,,
417,417,6,2,,,,0.084395,-0.503035,138.8889,44.86,-53.47,14.0,6.320,0.607,G9III:,1.099,138.849775,3.068332,-1.219378,0.00001333,0.00003051,-0.00003613,0.0220946140148996,-0.0087796252613975,0.0000002174874170972222,-0.000000259229874,,,Psc,1,417,,49.79663541644854,,,
441,443,28,3,,33    Psc,,0.088928,-5.707618,39.4945,-8.29,88.19,-6.0,4.610,1.627,K1III,1.029,39.287997,0.914841,-3.927804,-0.00000439,-0.00000169,0.00001741,0.023281305328276467,-0.09961672987464,-0.00000004019105411805555,0.000000427557184,,33,Psc,1,441,,19.462561593612413,BC,4.62,4.6
475,476,87,4,,86    Peg,,0.094989,13.396266,114.2857,42.59,-6.51,-2.0,5.550,0.260,G5III,0.901,111.141705,2.764456,26.478222,-0.00000174,0.00002356,-0.00000398,0.0248680747187823,0.2338089558380125,0.00000020648214654861113,-0.00000003156137,,86,Peg,1,475,,68.54882264526617,,,
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,247.36,17.77,-11.6,5.980,4.320,G5V,0.687,11.238030,0.307211,18.300258,-0.00000849,0.00002553,-0.00000914,0.027320425307301943,1.0199133908246714,0.0000011992351202222223,0.000000086151391,,,Cas,1,517,Gl   4.1,1.6292960326397214,V640,5.994,5.964
521,522,142,6,Gl 4.2A,,,0.105277,-49.075191,25.7136,575.21,-39.94,2.6,5.700,3.649,G1IV...,0.519,16.837769,0.464410,-19.428440,-0.00000399,0.00007162,-0.00000527,0.02756156509675433,-0.85652366430261,0.000002788696771923611,-0.000000193634584,,,Phe,1,521,Gl   4.2,3.0227344800386517,,,
530,531,144,7,,10    Cas,,0.107370,64.196168,265.9574,9.70,0.01,-0.4,5.570,-1.554,B9III,-0.023,115.723206,3.253833,239.438695,-0.00000054,0.00001250,-0.00000036,0.028109436485611372,1.1204345074242086,0.00000004702692701388888,0.000000000048481,,10,Cas,1,530,,364.4181507888612,,,
543,544,166,8,Gl 5,,,0.110209,29.021502,13.6705,379.94,-178.34,-5.5,6.070,5.391,K0V,0.752,11.948982,0.344882,6.632053,0.00000009,0.00002519,-0.00001306,0.028852628509606647,0.5065207576037262,0.0000018420010979027778,-0.000000864616717,,,And,1,543,,0.6075751461057411,V439,6.091,6.051
559,560,203,9,,,,0.113911,-23.107540,39.3856,97.30,-47.09,3.0,6.190,3.213,F2IV,0.386,36.209605,1.080174,-15.457211,-0.00000126,0.00001855,-0.00000947,0.02982195158247283,-0.4033026516141675,0.00000047172371118055556,-0.000000228298762,,,Cet,1,559,,4.516479049291118,,,
601,602,256,10,,,,0.121741,-17.386990,176.0563,-10.77,17.02,-9.0,6.200,-0.028,A2IV/V,0.133,167.926569,5.353910,-52.609842,-0.00000415,-0.00000933,0.00001661,0.03187167312370778,-0.30346021599123,-0.000000052214433395833335,0.000000082515288,,,Cet,1,601,,89.37169608501976,,,
634,635,315,11,,,,0.128920,-2.548679,183.4862,30.12,2.77,13.0,6.430,0.112,B8IIIsp...,-0.146,183.200416,6.185593,-8.159303,0.00001248,0.00002723,0.00000187,0.033751257726455104,-0.044482847493292496,0.00000014602588058333335,0.000000013429338,,,Psc,1,634,,78.55973322609896,,,
635,636,319,12,,,,0.129693,-22.508560,78.3699,70.10,-34.71,-13.0,5.930,1.459,A1V,0.141,72.358029,2.457783,-30.001634,-0.00001822,0.00002603,-0.00000709,0.03395367272591311,-0.39284847743974505,0.0000003398543900694444,-0.000000168278828,,,Cet,1,635,,22.71956437735267,,,
654,655,344,13,,,,0.134303,-33.529326,94.9668,-42.75,3.15,7.0,5.670,0.782,K1III,1.119,79.115753,2.782872,-52.456250,0.00000746,-0.00001943,-0.00000275,0.03516055349382617,-0.5851971343732375,-0.0000002072578484375,0.00000001527163,,,Scl,1,654,,42.383810577435,,,
670,671,360,16,,,,0.138204,-8.824112,98.4252,-34.13,-35.67,20.0,5.990,1.024,G8III:,1.034,97.196752,3.518268,-15.098621,0.00001818,-0.00001564,-0.00001996,0.03618160116454473,-0.15400980916409124,-0.00000016546690917361112,-0.000000172933039,,,Cet,1,670,,33.91563869058218,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.070,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.00002650,0.03659716270801555,0.5077238184659449,0.0000006577952017777778,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
694,696,402,18,,,,0.142638,-17.578155,578.0347,14.92,-47.27,-17.0,6.110,-2.700,M0/M1IIICNp,1.664,550.659574,20.572593,-174.570161,-0.00005810,0.00003967,-0.00012102,0.03734251392425997,-0.3067966822499775,0.00000007233420113888888,-0.000000229171426,,,Cet,1,694,,1047.1285480508996,CF,6.179,6.019
697,699,400,17,Gl 6,,,0.144710,36.627125,32.4465,-114.72,-124.60,-15.2,6.210,3.654,F8IV,0.504,26.020663,0.986231,19.357659,-0.00000010,-0.00001806,-0.00002500,0.03788488744027458,0.6392639273188562,-0.0000005561782543333333,-0.000000604077845,,,And,1,697,,3.008846276645725,,,
714,716,417,19,,,,0.147814,25.462985,138.5042,104.61,54.77,15.0,6.240,0.533,K0III,0.976,124.956847,4.838002,59.546878,-0.00000468,0.00007011,0.00003980,0.03869758068142325,0.444412921408955,0.0000005071635912291666,0.000000265532452,,,Peg,1,714,,53.308934223670136,,,
