id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;Xn;Yn;Zn;rarad;decrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max
0;;;;;;Sol;0;0;0;0;0;0;-26.7;4.85;G2V;0.656;0.000005;0;0;1;0;0;0;0;;;;1;0;;1;;;
122;122;224889;9084;;The Oct;;0.026616;-77.065724;66.5779;-56.52;-176.95;24;4.78;0.663;K2III;1.254;14.902031;0.103716;-64.888859;0.223828493;0.001557814;-0.974630606;0.006968083;-1.34505063;The;;Oct;1;122;;47.29334149;;;
154;154;224935;9089;;30    Psc;;0.032672;-6.014072;132.4503;46.62;-41.32;-12;4.37;-1.24;M3III;1.631;131.716394;1.126662;-13.877167;0.994459008;0.0085063;-0.104772635;0.008553479;-0.104965359;;30;Psc;1;154;;272.8977783;YY;4.418;4.308
300;301;225132;9098;;2    Cet;;0.06233;-17.335988;83.4725;28.57;-7.28;-5;4.55;-0.058;B9IVn;-0.047;79.670013;1.300177;-24.872663;0.954446231;0.015576112;-0.297974339;0.016318028;-0.302570064;;2;Cet;1;300;;91.87556017;;;
355;355;225212;9103;;3    Cet;;0.075033;-10.509523;641.0256;-6.49;-11.88;-42;4.99;-4.044;K3Ibvar;1.619;630.150175;12.379991;-116.922329;0.983034336;0.019312787;-0.182398845;0.019643575;-0.183425784;;3;Cet;1;355;;3610.771451;;;
441;443;28;3;;33    Psc;;0.088928;-5.707618;39.4945;-8.29;88.19;-6;4.61;1.627;K1III;1.029;39.287997;0.914841;-3.927804;0.994771348;0.023163757;-0.099451924;0.023281305;-0.09961673;;33;Psc;1;441;;19.46256159;BC;4.62;4.6
676;677;358;15;;21Alp And;Alpheratz;0.139791;29.090432;29.7442;135.68;-162.95;-12;2.07;-0.297;B9p;-0.038;25.974572;0.951042;14.461264;0.873265107;0.031974032;0.486187694;0.036597163;0.507723818;Alp;21;And;1;676;;114.4985535;Alp;2.083;2.063
744;746;432;21;Gl 8;11Bet Cas;Caph;0.152887;59.14978;16.7842;523.39;-180.42;11.3;2.28;1.155;F2III-IV;0.38;8.600014;0.344589;14.409503;0.512387483;0.020530559;0.858515926;0.040025853;1.032358404;Bet;11;Cas;1;744;;30.06076303;Bet;2.303;2.263
763;765;496;25;Gl 9.1;Eps Phe;;0.156836;-45.747426;44.2087;122.15;-180.13;-9.2;3.88;0.652;K0III;1.013;30.82377;1.266396;-31.665333;0.697233124;0.028645855;-0.716269264;0.041059679;-0.798443209;Eps;;Phe;1;763;;47.77492347;;;
908;910;693;33;Gl 10;6    Cet;;0.187739;-15.467977;18.7477;-84.2;-269.31;14.6;4.89;3.525;F5V;0.487;18.046958;0.887717;-5.000042;0.962622508;0.047350715;-0.266701622;0.049149857;-0.269967134;;6;Cet;1;908;;3.388441561;;;
1065;1067;886;39;;88Gam Peg;Algenib;0.220598;15.183596;120.048;4.7;-8.24;4;2.83;-2.567;B2IV;-0.19;115.664183;6.687324;31.442127;0.963482799;0.055705418;0.26191296;0.057752413;0.26500374;Gam;88;Peg;1;1065;;926.4031007;Gam;2.846;2.816
1166;1168;1013;45;;89Chi Peg;;0.243378;20.206702;112.8668;90.66;1.88;-46;4.79;-0.473;M2III;1.572;105.704826;6.744268;38.98495;0.936544901;0.059754224;0.34540671;0.063716224;0.352673476;Chi;89;Peg;1;1166;;134.6480288;;;
1169;1170;1038;48;;7    Cet;;0.244005;-18.932866;137.1742;-27.15;-73.78;-23;4.44;-1.246;M1III;1.64;129.488149;8.283;-44.507481;0.943968684;0.060383075;-0.324459563;0.063880275;-0.330440841;;7;Cet;1;1169;;274.4100418;AE;4.484;4.384
1363;1366;1280;63;;24The And;;0.284863;38.681636;94.697;-50.01;-17.9;1;4.61;-0.272;A2V;0.059;73.717927;5.507828;59.184918;0.77846106;0.058162645;0.624992534;0.074576934;0.675121901;The;24;And;1;1363;;111.8922482;;;
1470;1473;1404;68;;25Sig And;;0.305463;36.785224;41.3223;-66.51;-42.48;-8;4.51;1.429;A2V;0.054;32.988623;2.643715;24.744457;0.798324948;0.063977925;0.598816063;0.079970006;0.642023275;Sig;25;And;1;1470;;23.35608247;;;
1559;1562;1522;74;;8Iot Cet;;0.323799;-8.823921;84.1751;-14.37;-37.84;19;3.56;-1.066;K2III;1.214;82.880324;7.042663;-12.912353;0.984618064;0.083666821;-0.153398725;0.084770251;-0.154006481;Iot;8;Cet;1;1559;;232.4877102;;;
1595;1599;1581;77;Gl 17;Zet Tuc;;0.334142;-64.874791;8.5866;1707.56;1165.36;9;4.23;4.561;F9V;0.576;3.631914;0.318885;-7.774227;0.422974635;0.037137517;-0.905390609;0.087478102;-1.132278698;Zet;;Tuc;1;1595;;1.304968414;;;
2016;2021;2151;98;Gl 19;Bet Hyi;;0.427916;-77.254247;7.4588;2220.12;324.37;22.9;2.82;3.457;G2IV;0.618;1.635267;0.184517;-7.275205;0.219239958;0.024738162;-0.975385451;0.11202811;-1.348340964;Bet;;Hyi;1;2016;;3.607447339;;;
2069;2072;2262;100;Gl 20;Kap Phe;;0.436716;-43.679829;23.8095;106.14;32.83;11.3;3.93;2.046;A7V;0.175;17.106924;1.964466;-16.443574;0.718491526;0.082507655;-0.690630799;0.114332018;-0.76235684;Kap;;Phe;1;2069;;13.23122333;;;
2076;2081;2261;99;;Alp Phe;Ankaa;0.438056;-42.305981;25.974;232.76;-353.64;75;2.4;0.327;K0III...;1.083;19.083654;2.198282;-17.483284;0.734721414;0.084633942;-0.673107107;0.114682903;-0.738378669;Alp;;Phe;1;2076;;64.44659847;;;
2204;2210;2429;105;;Eta Scl;;0.465472;-33.007167;138.5042;-20.48;-50.39;11;4.86;-0.847;M2/M3III;1.634;115.288699;14.119065;-75.449377;0.832384137;0.101939616;-0.544744325;0.121860392;-0.576083741;Eta;;Scl;1;2204;;190.0203003;Eta;4.94;4.81
2466;2472;2834;125;;Lam1Phe;;0.523594;-48.803514;52.9661;140.74;19.47;-2;4.76;1.14;A0V;0.018;34.558503;4.767165;-39.85461;0.652464558;0.090004078;-0.752455061;0.137076571;-0.851782011;Lam-1;;Phe;1;2466;;30.4789499;;;
2478;2484;2884;126;;Bet1Tuc;;0.525725;-62.958218;41.4079;82.48;-54.37;14;4.36;1.275;B9V;-0.064;18.64771;2.582977;-36.881102;0.450341843;0.062378846;-0.890677914;0.1376344;-1.098828187;Bet-1;;Tuc;1;2478;;26.91534804;;;
2479;2487;2885;127;;Bet2Tuc;;0.525946;-62.965561;51.6529;87.95;-45.79;10;4.53;0.965;A2V;0.147;23.255404;3.222589;-46.009047;0.450224557;0.062389314;-0.890735022;0.137692406;-1.098956355;Bet-2;;Tuc;1;2479;;35.80964371;;4.548;4.278
2499;2505;2772;123;;14Lam Cas;;0.529539;54.522289;115.7407;40.78;-14.81;-12;4.74;-0.577;B8Vn;-0.098;66.52975;9.282854;94.252351;0.574817242;0.080203887;0.814340599;0.138633079;0.951593453;Lam;14;Cas;1;2499;;148.1835518;;;
2592;2599;2905;130;;15Kap Cas;;0.549997;62.931783;100000;3.99;-2.1;-2;4.17;-15.83;B1Ia;0.13;45034.19186;6529.619087;89046.53634;0.450341919;0.065296191;0.890465363;0.143988852;1.098366811;Kap;15;Cas;1;2592;;187068214;Kap;4.21;4.14
2906;2912;3369;154;;29Pi  And;;0.61468;33.719344;183.4862;15.23;-3.56;9;4.34;-1.978;B5V;-0.123;150.645938;24.453844;101.857872;0.821020535;0.133273478;0.555125519;0.160922836;0.588513567;Pi;29;And;1;2906;;538.517722;;;
2914;2920;3360;153;;17Zet Cas;;0.616188;53.896909;181.8182;17.77;-9.15;2;3.69;-2.608;B2IV;-0.196;105.743565;17.207892;146.901502;0.581589549;0.094643397;0.80795818;0.161317682;0.940678524;Zet;17;Cas;1;2914;;962.0552192;;;
3025;3031;3546;163;;30Eps And;;0.642602;29.311751;50.226;-229.41;-254.08;-84;4.34;0.835;G5III...;0.871;43.176578;7.332959;24.588338;0.85964596;0.145999263;0.489553976;0.16823268;0.511586572;Eps;30;And;1;3025;;40.3645393;;;
3086;3092;3627;165;;31Del And;;0.655462;30.861024;32.352;115.38;-83.05;-7;3.27;0.72;K3III...;1.268;27.363473;4.742224;16.595166;0.84580468;0.146582097;0.512956417;0.171599656;0.538626477;Del;31;And;1;3086;;44.87453899;;;
3172;3179;3712;168;;18Alp Cas;Shedir;0.675116;56.537331;69.979;50.36;-32.17;-4;2.24;-1.985;K0II-IIIvar;1.17;37.984817;6.784483;58.379619;0.542803084;0.096950271;0.834244831;0.176744881;0.986762576;Alp;18;Cas;1;3172;;542.0008904;Alp;2.25;2.23
3238;3245;3919;180;;Mu  Phe;;0.688766;-46.085007;75.358;-28.92;1.04;19;4.59;0.204;G8III;0.953;51.420268;9.373821;-54.285737;0.682346506;0.124390523;-0.720371255;0.180318627;-0.804335103;Mu;;Phe;1;3238;;72.17719497;;;
3293;3300;3901;179;;19Xi  Cas;;0.701081;50.512526;438.5965;12.32;-6.48;-10;4.8;-3.41;B2.5V;-0.105;274.222888;50.904565;338.492753;0.625228172;0.116062406;0.771763461;0.183542562;0.881609886;Xi;19;Cas;1;3293;;2013.72425;;;
3398;3405;4150;191;;Eta Phe;;0.722567;-57.46306;75.5287;-5.16;15.5;2;4.36;-0.031;A0IV;0.024;39.897951;7.638724;-63.674097;0.528248878;0.101136707;-0.843045054;0.189167583;-1.002919592;Eta;;Phe;1;3398;;89.61898069;;;
3407;3414;4058;184;;20Pi  Cas;;0.724466;47.024546;53.6769;-24.52;-37.16;13;4.95;1.301;A5V;0.17;35.934654;6.898434;39.272564;0.669462171;0.128517742;0.731647394;0.189664668;0.82073316;Pi;20;Cas;1;3407;;26.27846541;Pi;4.962;4.942
3413;3419;4128;188;Gl 31;16Bet Cet;Diphda;0.72649;-17.986605;29.5334;232.79;32.71;13.3;2.04;-0.312;K0III;1.019;27.583638;5.310463;-9.119792;0.93398112;0.179812111;-0.308795872;0.190194642;-0.31392547;Bet;16;Cet;1;3413;;116.091387;;;
3448;3455;4188;194;;17Phi1Cet;;0.7365;-10.60955;71.6332;-6.96;-113.88;1;4.77;0.494;K0IIIvar;0.998;69.103848;13.491898;-13.188762;0.964690227;0.188346996;-0.184115215;0.192815349;-0.185171587;Phi-1;17;Cet;1;3448;;55.25861556;;;
